customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
CUST00066,42,F,Semi-Urban,137473,65545,478007,3.48,6,4,54,0,61813,27712,634785,31,stable
CUST00067,30,M,Urban,72292,23833,135230,1.87,1,85,58,2,86704,308684,161456,33,stable
CUST00068,58,F,Semi-Urban,113570,8702,404,0.0,6,91,16,4,98142,140932,245365,2,increase
CUST00069,43,M,Metropolitan,300668,200244,1053385,3.5,2,82,16,4,56397,383432,48765,0,decrease
CUST00070,27,M,Rural,62091,21949,201152,3.24,1,31,33,3,7239,386598,810921,33,decrease
CUST00071,22,M,Urban,104074,32049,37131,0.36,1,53,43,4,24285,299770,708168,16,stable
CUST00072,40,M,Semi-Urban,52238,1252,39764,0.76,6,65,10,2,59494,81317,337359,33,stable
CUST00073,58,F,Metropolitan,253897,55393,662301,2.61,3,50,33,3,94456,315557,984304,23,decrease
CUST00074,29,M,Rural,75390,52329,253490,3.36,1,4,28,3,55479,216464,752729,16,decrease
CUST00075,39,F,Urban,135911,102468,223777,1.65,6,52,1,4,36586,258090,677375,10,stable
CUST00076,40,M,Semi-Urban,244726,137162,666997,2.73,4,3,55,0,83807,363714,436650,28,stable
CUST00077,49,M,Semi-Urban,83697,28732,121465,1.45,3,18,20,4,87505,111195,899513,21,decrease
CUST00078,38,M,Semi-Urban,47749,16907,149849,3.14,6,33,48,5,91865,374572,222890,8,decrease
CUST00079,45,F,Urban,294718,136312,1222869,4.15,6,62,47,4,4432,95257,598579,0,decrease
CUST00080,22,M,Rural,132600,79714,518862,3.91,6,13,25,3,73686,67661,578535,1,decrease
CUST00081,40,M,Rural,9621,6842,46391,4.82,3,6,2,5,55658,38638,863499,17,stable
CUST00082,55,M,Semi-Urban,113186,34674,166926,1.47,1,100,27,1,1062,247736,584736,21,stable
CUST00083,45,M,Urban,255885,47915,658956,2.58,4,24,3,1,73794,82152,659324,17,stable
CUST00084,55,F,Urban,36069,14369,12910,0.36,1,82,41,0,60004,194053,719913,33,stable
CUST00085,20,F,Rural,8812,3448,27285,3.1,5,69,5,3,77149,187210,796237,29,stable
CUST00086,48,M,Semi-Urban,224727,158518,124040,0.55,3,30,39,4,76323,271255,965614,5,stable
CUST00087,19,F,Semi-Urban,49427,14043,159818,3.23,4,78,5,5,84471,275378,270669,1,stable
CUST00088,35,F,Metropolitan,25954,13703,113689,4.38,3,44,43,4,6469,423321,838533,3,decrease
CUST00089,36,F,Semi-Urban,197139,127534,854016,4.33,2,13,37,4,1917,282762,566542,35,decrease
CUST00090,33,F,Metropolitan,62362,20128,242353,3.89,2,4,22,1,2219,301953,388892,1,stable
CUST00091,39,M,Urban,18512,1342,63076,3.41,1,16,8,2,93070,79767,632117,34,stable
CUST00092,50,M,Metropolitan,57078,40752,83524,1.46,6,59,43,1,67444,139639,898266,8,stable
CUST00093,48,M,Rural,89555,5415,167231,1.87,6,59,28,2,41832,58596,917533,29,stable
CUST00094,52,F,Semi-Urban,94740,15524,412498,4.35,3,77,25,5,20611,148056,24060,24,decrease
CUST00095,32,M,Rural,48303,9510,160359,3.32,6,31,50,4,72101,464736,228134,14,decrease
CUST00096,50,M,Semi-Urban,158168,67728,689376,4.36,2,77,52,2,11302,329650,575445,5,stable
CUST00097,22,M,Urban,106646,83122,490025,4.59,4,14,46,4,5408,59379,35053,26,decrease
CUST00098,53,M,Semi-Urban,59356,10789,32154,0.54,1,67,21,1,32265,365060,253322,9,stable
CUST00099,47,F,Rural,51197,23710,160558,3.14,4,87,51,4,20103,64772,136108,3,decrease
CUST00100,29,M,Semi-Urban,142828,20609,147550,1.03,3,35,35,1,71315,339978,398349,9,stable
CUST00101,58,F,Metropolitan,255773,144071,1103894,4.32,2,45,42,3,75993,206988,869751,17,decrease
CUST00102,44,M,Urban,156400,56942,91751,0.59,4,42,11,3,37219,211951,515155,4,stable
CUST00103,51,F,Rural,109263,126,27632,0.25,4,30,57,0,86066,498716,185399,21,stable
CUST00104,31,M,Metropolitan,159790,34560,284260,1.78,5,89,45,3,19256,494592,110158,14,decrease
CUST00105,38,F,Semi-Urban,150766,56264,468276,3.11,1,73,51,0,97945,13224,50738,24,stable
CUST00106,45,M,Urban,249690,139649,1174737,4.7,3,33,26,0,6783,41914,211579,23,stable
CUST00107,45,M,Metropolitan,344670,218967,383152,1.11,5,62,42,5,19097,141467,157313,20,decrease
CUST00108,26,M,Urban,342624,46163,19816,0.06,1,19,53,5,96731,152638,216524,6,stable
CUST00109,21,M,Metropolitan,16759,11404,41949,2.5,3,55,18,5,2079,395933,69676,28,decrease
CUST00110,49,F,Urban,82847,18449,64077,0.77,3,46,49,1,6645,381915,572288,29,stable
CUST00111,58,M,Metropolitan,433738,327299,1234816,2.85,5,54,38,2,78623,365321,927458,33,stable
CUST00112,47,M,Rural,110947,26399,216454,1.95,5,7,0,0,76534,448322,515815,22,stable
CUST00113,27,M,Urban,172552,72258,39986,0.23,1,91,46,1,73506,34911,883559,13,stable
CUST00114,46,F,Rural,196607,113453,608746,3.1,4,36,53,4,86925,244446,76358,17,decrease
CUST00115,26,M,Urban,276569,16032,708754,2.56,5,18,35,4,31419,381009,411921,0,decrease
CUST00116,19,M,Rural,92955,15358,230785,2.48,3,86,54,3,14596,426788,666639,29,decrease
CUST00117,23,F,Rural,135273,62516,138155,1.02,3,85,43,0,48285,19063,77642,22,stable
CUST00118,51,M,Urban,192992,35954,27856,0.14,6,8,39,1,99608,322918,33752,21,stable
CUST00119,57,F,Rural,56693,41401,256028,4.52,5,97,22,4,81994,318277,528271,20,decrease
CUST00120,56,F,Metropolitan,203456,31653,157729,0.78,1,36,24,5,78411,1622,583044,21,stable
CUST00121,40,M,Urban,61226,40760,81182,1.33,6,90,39,1,96523,177900,582212,6,stable
CUST00122,29,M,Urban,307881,101332,1400283,4.55,6,45,1,3,38709,192192,160322,35,stable
CUST00123,43,F,Semi-Urban,61276,24063,222320,3.63,3,38,39,2,28769,184374,426366,23,stable
CUST00124,39,M,Semi-Urban,128900,89399,415008,3.22,2,35,46,3,67298,425203,681210,16,decrease
CUST00125,54,M,Metropolitan,193376,132596,624712,3.23,1,39,16,0,34008,393276,740026,24,stable
CUST00126,58,M,Urban,34354,12418,28145,0.82,5,43,50,5,20581,88929,295195,18,decrease
CUST00127,56,M,Urban,135995,69626,428988,3.15,1,73,56,0,57134,151563,666701,15,stable
CUST00128,43,M,Urban,212503,143326,1059920,4.99,5,79,5,0,55761,193624,785435,14,stable
CUST00129,40,F,Rural,95600,27935,37641,0.39,1,22,25,4,19541,356601,485526,13,stable
CUST00130,34,M,Urban,149892,24070,342703,2.29,2,58,22,4,6737,298206,981741,34,decrease
CUST00131,32,M,Rural,153922,118249,66150,0.43,1,13,30,2,35435,358587,460348,33,stable
CUST00132,23,M,Metropolitan,149055,97241,676022,4.54,4,38,14,0,44547,316764,156389,24,stable
CUST00133,33,M,Metropolitan,173417,113824,254444,1.47,2,65,54,2,52393,459297,135341,12,stable
CUST00134,32,M,Urban,236577,179615,882554,3.73,6,28,48,4,73972,193259,285128,15,decrease
CUST00135,30,M,Metropolitan,120373,50072,250195,2.08,5,64,29,0,2050,109996,568221,29,stable
CUST00136,24,F,Metropolitan,441129,188847,1270464,2.88,5,78,8,0,89431,205763,511946,36,stable
CUST00137,57,M,Metropolitan,253506,168645,910775,3.59,6,87,10,5,34636,211169,189352,6,stable
CUST00138,24,M,Metropolitan,463058,245596,998974,2.16,6,73,42,1,82856,158448,196626,5,stable
CUST00139,19,F,Rural,187020,73781,465966,2.49,1,8,34,3,18297,30448,298316,34,decrease
CUST00140,37,M,Urban,384999,159903,7906,0.02,6,12,55,4,75758,322648,725080,3,stable
CUST00141,33,F,Urban,93300,17674,83560,0.9,3,91,28,0,17602,365464,623089,11,increase
CUST00142,61,M,Urban,301336,46542,326916,1.08,3,58,33,3,33742,331813,687114,4,decrease
CUST00143,40,M,Rural,46873,29125,106532,2.27,4,47,12,3,85956,86988,579936,31,stable
CUST00144,48,F,Urban,94082,19129,128322,1.36,2,39,26,4,99616,386309,96231,18,decrease
CUST00145,36,M,Metropolitan,34623,2139,105228,3.04,3,44,24,4,86206,69274,143541,6,decrease
CUST00146,19,M,Rural,53874,9017,68344,1.27,3,30,22,1,2719,153962,480452,29,stable
CUST00147,56,M,Semi-Urban,241374,92241,412003,1.71,2,77,12,4,91659,164134,85713,31,stable
CUST00148,27,F,Rural,196533,75418,128232,0.65,1,94,33,3,37311,293719,335996,34,stable
CUST00149,23,M,Semi-Urban,84242,47517,29257,0.35,1,95,33,3,98875,231758,625645,36,stable
CUST00150,43,F,Rural,149579,72595,608095,4.07,4,67,26,0,80395,385941,336032,9,stable
CUST00151,18,M,Semi-Urban,28953,11383,114682,3.96,2,49,13,4,21195,77475,494090,34,stable
CUST00152,29,F,Semi-Urban,226118,57372,648074,2.87,1,5,46,2,27082,291385,237286,25,stable
CUST00153,48,M,Rural,31029,13025,123395,3.98,1,98,12,0,81958,199950,576134,28,stable
CUST00154,46,M,Semi-Urban,156554,23411,444191,2.84,2,46,13,3,3093,470474,294186,2,stable
CUST00155,31,M,Rural,180485,97883,295900,1.64,5,46,15,4,28602,184403,583189,18,stable
CUST00156,19,M,Rural,133386,5626,662784,4.97,2,37,14,1,1980,179362,560719,24,stable
CUST00157,43,M,Urban,36385,5390,154091,4.23,3,71,59,5,5776,429660,996420,7,decrease
CUST00158,29,M,Rural,87970,30707,170182,1.93,3,92,43,4,5655,307003,981129,2,decrease
CUST00159,40,M,Metropolitan,137413,526,330904,2.41,6,77,6,0,28541,79083,978531,35,stable
CUST00160,26,F,Semi-Urban,112101,65455,254346,2.27,5,80,7,4,26589,161087,170081,30,stable
CUST00161,52,F,Rural,162215,6154,677164,4.17,1,32,59,5,52648,292231,715290,21,decrease
CUST00162,44,M,Metropolitan,221376,174480,1088075,4.92,1,45,31,5,95317,96347,320931,32,decrease
CUST00163,30,M,Metropolitan,220735,22431,647008,2.93,2,96,32,0,45004,477085,229724,25,increase
CUST00164,39,M,Semi-Urban,60326,43201,212133,3.52,2,45,57,1,68577,196713,19078,10,stable
CUST00165,23,F,Metropolitan,458002,215048,1690696,3.69,1,75,7,1,3389,418899,416845,6,stable
CUST00166,30,F,Urban,187235,98511,273797,1.46,2,21,25,2,56446,152360,787915,13,stable
CUST00167,25,M,Rural,151385,80885,72715,0.48,4,12,24,4,83186,419961,697250,35,stable
CUST00168,28,M,Metropolitan,43380,2356,70326,1.62,3,43,17,5,16082,262805,178484,31,decrease
CUST00169,23,M,Metropolitan,468531,341705,2322466,4.96,5,92,53,0,30027,465757,384484,30,stable
CUST00170,41,F,Semi-Urban,82131,47908,288107,3.51,6,19,59,1,80818,266847,730488,35,stable
CUST00171,48,F,Rural,158087,77539,567873,3.59,2,35,5,1,29426,279922,710601,11,stable
CUST00172,17,F,Rural,184436,126503,260116,1.41,1,98,25,3,23279,209373,939065,13,decrease
CUST00173,31,F,Semi-Urban,188225,33142,813348,4.32,5,37,44,0,35133,443893,630347,13,stable
CUST00174,53,F,Rural,183136,101459,761985,4.16,6,16,58,0,92152,329793,336818,36,stable
CUST00175,19,M,Rural,149832,21927,348619,2.33,4,44,22,2,52233,44738,567685,13,stable
CUST00176,33,F,Semi-Urban,210332,120585,959744,4.56,5,19,7,2,23499,481792,381000,19,stable
CUST00177,48,M,Metropolitan,231184,35946,317348,1.37,5,75,36,0,9847,26155,351815,27,stable
CUST00178,29,F,Rural,154381,619,476410,3.09,5,19,49,5,81537,197576,712974,36,decrease
CUST00179,40,M,Metropolitan,277425,158492,170102,0.61,3,69,36,4,29856,140272,860610,13,stable
CUST00180,31,M,Urban,129273,41235,248500,1.92,2,87,58,2,65661,126945,579560,28,stable
CUST00181,58,M,Urban,130030,56503,6570,0.05,2,22,43,5,12115,39062,819343,15,stable
CUST00182,59,M,Semi-Urban,221883,135542,796657,3.59,5,0,54,4,13669,430596,920830,21,decrease
CUST00183,54,M,Metropolitan,63320,47414,146649,2.32,3,73,29,1,28625,212112,296233,7,stable
CUST00184,57,F,Semi-Urban,118448,50138,173895,1.47,1,45,3,0,31890,341278,843487,13,stable
CUST00185,25,M,Metropolitan,173056,110169,794557,4.59,4,65,49,5,5704,453792,738744,24,decrease
CUST00186,30,M,Semi-Urban,166280,118516,522828,3.14,1,74,3,1,29165,67203,494965,18,stable
CUST00187,26,F,Metropolitan,51321,7761,96652,1.88,1,22,18,4,3712,394583,248389,6,decrease
CUST00188,44,F,Urban,61924,3726,27723,0.45,2,70,14,4,77714,35643,696684,24,stable
CUST00189,47,M,Rural,144999,93680,358690,2.47,4,89,10,2,76743,453449,297681,8,stable
CUST00190,22,F,Urban,32612,6471,31348,0.96,5,25,24,3,21636,81889,63551,36,decrease
CUST00191,35,M,Metropolitan,157635,46819,335914,2.13,6,45,49,3,78714,498090,723708,20,decrease
CUST00192,37,F,Rural,69106,41974,59182,0.86,5,14,24,3,8906,299058,906782,3,decrease
CUST00193,41,F,Metropolitan,260900,168722,137084,0.53,4,51,45,2,42652,203502,154539,34,stable
CUST00194,27,F,Urban,131999,54691,457373,3.46,2,1,48,4,23171,231513,267368,29,decrease
CUST00195,31,M,Metropolitan,245662,114014,175211,0.71,2,38,12,0,90025,205244,933945,35,stable
CUST00196,34,F,Rural,112971,12149,362246,3.21,6,0,43,4,13673,469882,622492,21,decrease
CUST00197,40,F,Urban,229861,140507,225160,0.98,2,8,14,1,76153,235128,85388,7,stable
CUST00198,43,F,Urban,129503,101529,127834,0.99,5,67,49,2,36451,138299,172982,9,stable
CUST00199,44,F,Urban,337825,234386,1392291,4.12,2,96,54,1,64174,26160,256242,33,stable
CUST00200,50,M,Semi-Urban,25014,14996,49104,1.96,6,47,36,2,33755,40390,295855,10,stable
CUST00201,27,M,Semi-Urban,213768,158285,771148,3.61,5,56,24,1,17727,374562,538646,20,stable
CUST00202,37,M,Urban,104018,32117,481916,4.63,1,74,38,3,51501,454162,834899,25,decrease
CUST00203,52,M,Rural,81329,31007,170604,2.1,6,35,39,4,73379,407426,288600,7,decrease
CUST00204,47,M,Rural,146178,103493,68008,0.47,4,12,48,3,69249,201659,282900,26,stable
CUST00205,52,M,Metropolitan,422700,125703,842981,1.99,2,66,53,3,45113,498946,608357,5,decrease
CUST00206,16,M,Rural,155273,58576,511778,3.3,2,86,29,3,97543,131733,185915,35,decrease
CUST00207,24,M,Urban,52828,10526,25592,0.48,2,61,29,0,68619,160400,318623,11,stable
CUST00208,25,M,Semi-Urban,178963,141826,755343,4.22,6,22,27,2,48231,29301,232724,19,stable
CUST00209,21,M,Metropolitan,228277,98452,668755,2.93,6,21,17,0,76559,10699,206133,33,stable
CUST00210,33,M,Urban,129264,5782,522988,4.05,2,84,1,2,47864,392136,880848,10,increase
CUST00211,17,M,Rural,43067,18073,36035,0.84,2,54,5,2,90517,65450,544670,21,stable
CUST00212,54,F,Semi-Urban,229427,61929,757771,3.3,1,41,37,1,87468,34594,201703,29,stable
CUST00213,33,M,Urban,83861,52290,293894,3.5,4,13,8,4,24226,268865,983658,1,stable
CUST00214,55,M,Metropolitan,145513,72909,104211,0.72,2,9,24,1,74520,456956,860741,32,stable
CUST00215,55,M,Urban,214894,5901,162624,0.76,6,79,53,5,14716,114099,545426,34,stable
CUST00216,60,M,Urban,33429,17432,101268,3.03,2,67,24,3,40108,391099,492315,31,decrease
CUST00217,52,M,Metropolitan,240371,164685,552467,2.3,2,92,59,5,18268,471082,882701,1,decrease
CUST00218,40,M,Semi-Urban,211218,39922,250497,1.19,6,10,49,4,92062,382007,166104,22,decrease
CUST00219,33,M,Rural,49936,29794,192660,3.86,1,27,45,2,6406,97359,919711,32,stable
CUST00220,18,F,Rural,51851,34406,54823,1.06,1,100,38,3,41779,199900,510531,35,decrease
CUST00221,58,M,Metropolitan,264062,57009,435684,1.65,4,62,60,2,96774,489626,298859,21,stable
CUST00222,31,F,Semi-Urban,39174,9956,76373,1.95,5,54,1,5,89818,6548,651269,14,stable
CUST00223,35,F,Rural,159249,24022,630585,3.96,5,64,12,4,59353,483569,647420,20,stable
CUST00224,37,F,Urban,188148,131743,262307,1.39,1,98,48,3,10634,135870,294564,25,decrease
CUST00225,24,M,Metropolitan,171193,128563,299631,1.75,4,81,39,2,14056,290524,822467,28,stable
CUST00226,52,M,Rural,191388,117360,53352,0.28,1,8,40,0,64641,442939,13631,28,stable
CUST00227,50,M,Semi-Urban,228169,90353,552959,2.42,4,20,27,2,92961,421818,754149,7,stable
CUST00228,35,F,Metropolitan,481832,7099,1822550,3.78,5,82,4,3,63936,153686,233332,7,increase
CUST00229,33,M,Metropolitan,264031,60920,487510,1.85,3,0,44,2,89570,101015,742176,4,stable
CUST00230,37,M,Semi-Urban,96340,44857,141214,1.47,6,99,10,3,64027,451122,169210,4,stable
CUST00231,22,F,Semi-Urban,112797,76295,421486,3.74,4,80,30,0,35144,445377,499934,2,stable
CUST00232,56,M,Metropolitan,112661,6979,452776,4.02,1,61,49,1,34964,478883,428443,26,stable
CUST00233,54,M,Rural,22153,780,108212,4.88,4,97,10,1,45838,387344,461495,17,increase
CUST00234,29,F,Metropolitan,430384,70119,1873722,4.35,6,88,49,5,77811,395677,417507,20,decrease
CUST00235,46,M,Rural,69946,33453,84080,1.2,5,98,57,5,48758,338416,571931,17,decrease
CUST00236,40,M,Urban,169116,125588,540285,3.19,6,6,22,3,94463,451157,68005,24,decrease
CUST00237,42,M,Metropolitan,38387,28444,179980,4.69,2,1,28,4,55731,155930,189761,30,decrease
CUST00238,34,M,Urban,187558,20567,422955,2.26,5,21,42,4,67260,66912,266695,2,decrease
CUST00239,33,M,Rural,86942,51612,29725,0.34,4,24,36,1,65095,415872,65147,4,stable
CUST00240,22,F,Urban,310931,244839,456162,1.47,2,97,42,0,3081,165268,702095,26,stable
CUST00241,46,M,Urban,86865,31656,67695,0.78,5,8,51,3,47701,108777,29033,11,stable
CUST00242,31,M,Rural,199509,115725,145016,0.73,2,52,56,3,36751,362226,755182,5,stable
CUST00243,39,M,Metropolitan,359761,100483,523886,1.46,5,3,19,1,66549,114914,557993,36,stable
CUST00244,52,F,Rural,108892,78645,264167,2.43,5,73,37,5,61627,33848,965308,19,decrease
CUST00245,34,F,Semi-Urban,35766,10822,68099,1.9,5,13,2,4,23225,357430,278787,3,stable
CUST00246,44,M,Metropolitan,342841,16029,1294929,3.78,3,30,59,3,68926,137069,327650,21,decrease
CUST00247,44,M,Metropolitan,57092,541,152889,2.68,6,30,35,2,57775,212652,277613,32,stable
CUST00248,32,M,Rural,104134,1651,181360,1.74,3,91,58,2,16184,33787,555909,32,increase
CUST00249,36,F,Urban,306195,49811,30447,0.1,3,14,5,5,57418,407688,514409,15,stable
CUST00250,22,M,Semi-Urban,128312,95804,165937,1.29,3,76,42,0,6397,228981,532220,5,stable
CUST00251,36,M,Urban,231178,83820,1071860,4.64,3,41,34,5,70553,212978,891220,28,decrease
CUST00252,54,F,Semi-Urban,50963,2096,244809,4.8,5,99,5,1,19715,160381,680438,34,increase
CUST00253,20,M,Urban,274983,68920,830051,3.02,6,40,53,5,7531,430267,673096,30,decrease
CUST00254,34,M,Rural,150047,62424,307747,2.05,5,29,23,3,37481,354717,674917,27,decrease
CUST00255,21,F,Rural,136234,34742,19675,0.14,6,9,15,5,9833,270040,436188,5,stable
CUST00256,29,M,Metropolitan,111044,5347,489066,4.4,4,81,57,2,15892,309443,27073,32,increase
CUST00257,47,F,Metropolitan,243870,124302,115359,0.47,3,19,23,4,50601,470681,405755,13,stable
CUST00258,56,M,Urban,261924,28228,249430,0.95,2,36,23,0,18322,450930,360040,20,stable
CUST00259,29,F,Semi-Urban,89912,6588,352680,3.92,1,49,52,3,91006,481769,942856,6,decrease
CUST00260,39,M,Semi-Urban,27446,2336,62032,2.26,5,60,33,3,23481,280618,187832,21,decrease
CUST00261,34,F,Semi-Urban,206241,50669,209093,1.01,2,64,9,4,83457,14357,533375,1,stable
CUST00262,30,M,Metropolitan,80633,11407,96111,1.19,3,38,21,3,74071,450542,231095,9,decrease
CUST00263,49,F,Rural,72263,34622,272944,3.78,5,19,25,3,30573,340851,434149,14,decrease
CUST00264,41,F,Metropolitan,373478,280277,525069,1.41,3,39,57,3,39961,291262,110417,24,decrease
CUST00265,17,F,Rural,179023,91179,547936,3.06,2,98,5,3,26390,350808,716938,18,stable
CUST00266,25,F,Metropolitan,241058,133623,858379,3.56,2,7,23,3,33243,152872,872371,36,decrease
CUST00267,38,M,Semi-Urban,146311,6710,414600,2.83,6,81,41,3,29139,347589,218139,1,decrease
CUST00268,26,M,Urban,309855,6530,1321836,4.27,3,26,49,2,4135,399845,381616,27,stable
